locatumId,relatumId,landmarkRelationType,dateStartStamp,dateStartPrec,dateStartCal,dateEndStamp,dateEndPrec,dateEndCal,statement,statementType
http://www.wikidata.org/entity/Q3447249,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3447249-7377D466-1E9A-4E87-81DA-728B5140FBDE,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447125,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447125-3526057D-2947-4A5C-BD85-A33D8DF3D6DE,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447249,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447249-2B29F5A6-355C-499E-8762-F3EDE789C82F,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447252,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447252-BB8200E2-2486-425B-9A8A-522FBC90FD65,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448302,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3448302-3535E358-62B9-47E7-AB79-BAE2ADD0E686,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448302,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448302-3DEB06F1-7D40-41CB-AC0A-4F1840C8C764,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448429,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448429-5A449490-9E54-46B1-A432-4878C414039D,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448456,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448456-1E3589BF-9B32-4D2E-89A6-9DD411D15379,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448550,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448550-E98B46D2-90F1-4615-A436-F69F514133D2,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448912,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3448912-F32FFA4A-02EE-4F6B-89E9-98A3320BC4BA,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448842,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448842-E3C4FB5D-99BE-45D7-B5F7-0B1F5B935F5B,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3448912,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3448912-955D50E0-20D1-454C-8DA2-F7280D8D469F,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3449037,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3449037-F54A57CF-7BF6-4CA3-8A1E-507DD5C56281,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3449279,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3449279-971B5109-8449-4A30-BF1C-B94A47644234,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3449488,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3449488-E63526A3-DC06-4372-9489-1705340DB3A6,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3449566,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3449566-C58F7405-6D94-49C3-BE1F-F237153A1B0E,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3450114,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3450114-891593F2-2B70-4E5D-9E74-955AC6E9B337,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3449612,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3449612-2396FC50-8CC2-4614-B871-2563517326F2,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3449820,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3449820-610C1080-98DC-4230-AEE4-EDB82D85E8E4,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3450096,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3450096-344CEEBB-6E2E-41FD-B6AD-E282BC01DA9E,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3450114,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3450114-5154E0C5-C1DC-4AED-A580-8DB184AFB8F8,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3450711,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3450711-7D29EF1D-93F3-4A09-97FF-4795B5FCA8F8,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3450776,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3450776-6B7D4120-96F4-43FA-ABD4-7599C576D750,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3451890,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3451890-23A3F550-EED8-4FFD-A541-6B59DAEAA370,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3451838,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3451838-BE1065DB-DF15-49A1-B850-3AA78E94C392,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3451890,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3451890-D2CDD68C-AD4E-4703-B55D-AACB4782AFA7,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3451244,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3451244-1F235538-A2AE-4F7E-BECC-F45E7A5955B6,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3451386,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3451386-584693EC-C84D-4155-9C7A-67888BE50F38,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3451244,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3451244-38E11668-EA43-41BD-BFF7-3FAA0E084898,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3451386,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3451386-DCA1171A-67FD-4340-B467-8B872EA17CD6,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3450148,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3450148-B6A2B8F5-AFD2-463E-BD52-4B4D676557D8,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3450412,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3450412-461938AD-E7CA-467F-8452-B179D715FE48,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3450148,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3450148-D39D9BD3-D35C-4E2B-9115-2235CF426B51,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3450412,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3450412-A8FB3AFD-B9F0-46C4-9EB2-45496E0774B2,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3450574,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3450574-EE81BA62-F05D-4484-94ED-2528E7E39878,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q21098391,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q21098391-F0F63A08-2C57-4068-8ECC-C2631DA3656B,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q21098528,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q21098528-D1FADA29-0A2C-43F6-9601-82A668430C2C,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q21098626,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q21098626-0E728C79-C485-48E5-AEA6-75FA2390B5D6,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q21098657,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q21098657-99FDE9AE-81ED-4CBD-9BE9-7EB8FA34210B,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q21098685,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q21098685-306F699B-1F80-459A-8554-940B753E6C1A,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q21098528,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q21098528-52DF4109-15FC-4850-B028-1A1CEF0FB583,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3494455,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3494455-668AC9C3-059A-4263-9CAF-58F007CDCC09,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3452624,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3452624-662AD6E9-E1DC-42CA-BBD8-576EAFE9C503,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3452624,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3452624-9627370E-6D09-4B0B-B079-FCA5AD1D2D3E,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3558717,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3558717-C6B35E50-C038-48C9-B406-67AE26E31372,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q21098098,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q21098098-E031822A-92AA-4074-B1E0-390751F39379,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q21098289,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q21098289-35DB49A3-5855-469D-B9E3-470E113AEA04,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q21098098,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q21098098-14D6A2EA-1EFE-416C-960F-BA27CFA694FC,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q2873852,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q2873852-481FB33A-F2CA-465E-9096-774FA4EDE55C,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q2921959,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q2921959-6AC26819-21D6-40BD-A106-8337D0CCF296,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q2921993,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q2921993-60181DD0-748D-4A3E-A53E-D453EF4E435B,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3389701,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3389701-55FF41CF-2063-4DE3-9512-D428D2F870BC,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3389769,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3389769-94D364AE-ACA5-4EA3-B89B-86D5511E5DAE,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3368016,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3368016-465EA744-C845-4213-BEED-C33A7AAB5AE8,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3389701,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3389701-AE11B7A8-4AAE-4E6F-B6C2-F220183F7E25,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3389769,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3389769-4BD4637B-65DB-4162-B83A-AB8294B0FDB5,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3390479,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3390479-D2727C68-EC90-409B-8B6F-226C6630AC15,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3390151,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3390151-0FFD6129-A9CB-4B17-AC79-76189EF43DDB,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3390300,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3390300-1AF7F1A9-6111-4EDD-9FE8-3A3BD14F2DDF,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3390479,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3390479-C8787867-B1E0-4FDA-BCCD-2291D484C25E,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3446899,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3446899-53D2EBE5-5CFE-4F46-964B-43C7252F115D,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3446910,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3446910-745F7D43-152B-460A-AD96-DB9026D1204A,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3446956,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3446956-6078B8D3-A16B-4D26-BE92-BC3995A6374D,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3446899,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3446899-48E7A35A-BC31-4DD5-BAB1-CA49F401A60D,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3446910,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3446910-372F2AAA-5D8D-4DF8-A11C-FFFA37BE006F,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3446956,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3446956-48FED135-E408-452C-B6A6-F175E1F6E158,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3446960,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3446960-CCF43B0F-7AAD-4AA5-A010-AE9FF41ABC01,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447270,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3447270-6F07DC71-44CA-4B65-B1DC-73B55EB2BFD1,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447283,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3447283-DF331D74-F334-4954-8602-3E8EB8ED732C,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447398,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3447398-FB6C61C1-D581-42F9-9F23-2CD35AD6A411,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447270,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447270-03BAF3D8-B89C-4CD5-BDF4-F976023ED4A9,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447283,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447283-CD3435AD-2B5F-46EB-96FF-A95AE6B65159,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447398,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447398-FAC86170-0E51-442C-87F4-D884EDAD64DE,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3447481,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3447481-B65121B2-2EB2-4F51-A89B-BD34086CA400,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q1966521,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q1966521-4DCEF7A0-335E-48EC-9CE4-0CA05D4656CA,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q1513866,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q1513866-41e642bb-4c0f-312c-4f31-6f587b9e2a78,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q109225282,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q109225282-40a8ddfd-4bb4-1467-5774-9095bb05530c,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q1966521,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q1966521-329E5CD1-8524-4E74-8BC7-3417209C374E,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q116304082,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/Q116304082-7c69145c-402e-567f-aeca-7223d3d7262d,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3149382,http://www.wikidata.org/entity/Q2378493,Within,,,,,,,http://www.wikidata.org/entity/statement/Q3149382-BFA94393-1BE1-41F4-A420-C8D9714D1BFF,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3149262,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3149262-D4043BB8-32F9-4963-98D5-D0A75F0077DF,http://wikiba.se/ontology#Statement
http://www.wikidata.org/entity/Q3149382,http://www.wikidata.org/entity/Q175129,Within,,,,,,,http://www.wikidata.org/entity/statement/q3149382-EE6B75AD-E9A6-41AD-A776-5972CFCBB04A,http://wikiba.se/ontology#Statement
